RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
, , Fc 1
la el DA0FS0 0.98926
Juez_Segundo_de_Distrito juez_segundo_de_distrito NP00000 1
en en SP 1
Materia_Administrativa materia_administrativa NP00000 1
especializada especializar VMP00SF 1
en en SP 1
Competencia_Económica competencia_económica NP00000 1
, , Fc 1
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
Telecomunicaciones telecomunicaciones NP00000 1
con con SP 1
residencia residencia NCFS000 0.988439
en en SP 1
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
y y CC 0.999989
jurisdicción jurisdicción NCFS000 1
en en SP 1
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
República república NP00000 1
, , Fc 1
a a SP 0.998775
quien quien PR0CS00 1
por por SP 1
turno turno NCMS000 0.987805
correspondió corresponder VMIS3S0 1
conocer conocer VMN0000 1
de de SP 1
el el DA0MS0 1
asunto asunto NCMS000 1
, , Fc 1
radicó radicar VMIS3S0 1
la el DA0FS0 0.98926
demanda demanda NCFS000 0.967828
con con SP 1
el el DA0MS0 1
número número NCMS000 1
de de SP 0.999961
expediente expediente NCMS000 0.982759
1645/2015 1645/2015 Z 1
admitió admitir VMIS3S0 1
a a SP 0.998775
trámite trámite NCMS000 1
la el DA0FS0 0.98926
demanda demanda NCFS000 0.967828
de de SP 0.999961
amparo amparo NCMS000 0.986111
, , Fc 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
las el DA0FP0 0.988184
autoridades autoridad NCFP000 1
señaladas señalar VMP00PF 1
como como CS 0.967153
responsables responsable NCCP000 0.881944
su su DP3CSN 1
informe informe NCMS000 0.954286
justificado justificar VMP00SM 1
, , Fc 1
dio dar VMIS3S0 1
a a SP 1
el el DA0MS0 1
Agente_de_el_Ministerio_Público_de_la_Federación agente_de_el_ministerio_público_de_la_federación NP00000 1
la el DA0FS0 0.98926
intervención intervención NCFS000 1
que que PR0CN00 0.550139
le le PP3CSD0 1
compete competer VMIP3S0 0.989218
; ; Fx 1
y y CC 0.999989
seguidos seguir VMP00PM 1
los el DA0MP0 0.992728
trámites trámite NCMP000 1
de de SP 0.999961
ley ley NCFS000 1
, , Fc 1
el el DA0MS0 1
6_de_enero_de_2016 [??:6/1/2016:??.??:??] W 1
dictó dictar VMIS3S0 1
sentencia sentencia NCFS000 0.972286
. . Fp 1

Ahora_bien ahora_bien RG 1
, , Fc 1
dado_que dado_que CS 1
Telcel telcel NP00000 1
, , Fc 1
Alestra alestra NP00000 1
, , Fc 1
ahora ahora RG 1
Axtel axtel NP00000 1
, , Fc 1
y y CC 0.999989
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
quedaron quedar VMIS3P0 1
inconformes inconforme AQ0CP00 0.661294
con con SP 1
la el DA0FS0 0.98926
sentencia sentencia NCFS000 0.972286
, , Fc 1
interpusieron interponer VMIS3P0 1
recurso recurso NCMS000 1
de de SP 0.999961
revisión revisión NCFS000 1
, , Fc 1
los el DA0MP0 0.992728
cuales cual PR0CP00 1
fueron ser VSIS3P0 0.933213
turnados turnar VMP00PM 1
a a SP 1
el el DA0MS0 1
Segundo_Tribunal_Colegiado_de_Circuito segundo_tribunal_colegiado_de_circuito NP00000 1
en en SP 1
Materia_Administrativa materia_administrativa NP00000 1
especializado especializar VMP00SM 1
en en SP 1
Competencia_Económica competencia_económica NP00000 1
, , Fc 1
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
Telecomunicaciones telecomunicaciones NP00000 1
con con SP 1
residencia residencia NCFS000 0.988439
en en SP 1
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
y y CC 0.999989
jurisdicción jurisdicción NCFS000 1
en en SP 1
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
República república NP00000 1
, , Fc 1
mismos mismo PI0MP00 0.47076
que que PR0CN00 0.550139
se se P00CN00 0.494509
admitieron admitir VMIS3P0 1
a a SP 0.998775
trámite trámite NCMS000 1
y y CC 0.999989
se se P00CN00 0.494509
registraron registrar VMIS3P0 1
bajo bajo SP 0.909179
el el DA0MS0 1
toca tocar VMIP3S0 0.98374
R.A. r.a. NP00000 1
17/2016 17/2016 Z 1
. . Fp 1

Los el DA0MP0 0.992728
autos auto NCMP000 1
fueron ser VSIS3P0 0.933213
turnados turnar VMP00PM 1
a a SP 1
el el DA0MS0 1
Magistrado magistrado NP00000 1
ponente ponente AQ0CS00 0.407448
para para SP 0.999834
la el DA0FS0 0.98926
formulación formulación NCFS000 1
de de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
de de SP 0.999961
resolución resolución NCFS000 1
respectivo respectivo AQ0MS00 1
, , Fc 1
y y CC 0.999989
mediante mediante SP 0.99763
sesión sesión NCFS000 1
celebrada celebrar VMP00SF 1
el el DA0MS0 1
29_de_abril_de_2016 [??:29/4/2016:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
resolvió resolver VMIS3S0 1
: : Fd 1
“ “ Fra 1
PRIMERO 1 AO0MS00 0.685848
. . Fp 1

En en SP 1
la el DA0FS0 0.98926
materia materia NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
revisión revisión NCFS000 1
competencia competencia NCFS000 1
de de SP 0.999961
este este DD0MS0 0.949201
tribunal tribunal NCMS000 1
, , Fc 1
se se P00CN00 0.494509
MODIFICA modifica NP00000 1
la el DA0FS0 0.98926
sentencia sentencia NCFS000 0.972286
recurrida recurrir VMP00SF 1
. . Fp 1
- - Fg 1
- - Fg 1
- - Fg 1
SEGUNDO segundo NCMS000 0.0978836
. . Fp 1

Se se P00CN00 0.494509
SOBRESEE sobresee NP00000 1
en en SP 1
el el DA0MS0 1
juicio juicio NCMS000 1
, , Fc 1
respecto_de respecto_de SP 1
los el DA0MP0 0.992728
incisos inciso NCMP000 0.33892
a a SP 0.998775
, , Fc 1
b b NCFS000 1
, , Fc 1
d d NCFS000 1
y y CC 0.999989
e y CC 0.987994
de de SP 1
el el DA0MS0 1
punto punto NCMS000 1
primero primero RG 0.313084
de de SP 1
el el DA0MS0 1
Acuerdo acuerdo NP00000 1
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
determina determinar VMIP3S0 0.989241
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
resultado resultado NCMS000 0.924877
de de SP 0.999961
la el DA0FS0 0.98926
metodología metodología NCFS000 1
para para SP 0.999834
el el DA0MS0 1
cálculo cálculo NCMS000 1
de de SP 0.999961
costos costo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
utilizará utilizar VMIF3S0 1
para para SP 0.999834
resolver resolver VMN0000 1
los el DA0MP0 0.992728
desacuerdos desacuerdo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
presenten presentar VMSP3P0 0.980769
respecto_de respecto_de SP 1
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
aplicables aplicable AQ0CP00 1
a a SP 1
el el DA0MS0 1
año_2015 [??:??/??/2015:??.??:??] W 1
, , Fc 1
aprobado aprobar VMP00SM 0.958015
en en SP 1
su su DP3CSN 1
Sesión_Extraordinaria sesión_extraordinaria NP00000 1
celebrada celebrar VMP00SF 1
el el DA0MS0 1
19_de_diciembre_de_2014 [??:19/12/2014:??.??:??] W 1
, , Fc 1
mediante mediante SP 0.99763
Acuerdo acuerdo NP00000 1
P/IFT/EXT/191214/284 P/IFT/EXT/191214/284 Z 1
, , Fc 1
y y CC 0.999989
publicado publicar VMP00SM 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
veintinueve_de_diciembre_de_dos_mil_catorce [??:29/12/2014:??.??:??] W 1
, , Fc 1
en en SP 1
términos término NCMP000 1
de de SP 1
el el DA0MS0 1
considerando considerando NCMS000 0.186667
sexto 6 AO0MS00 0.987805
de de SP 0.999961
esta este DD0FS0 0.978817
resolución resolución NCFS000 1
. . Fp 1
- - Fg 1
- - Fg 1
- - Fg 1
TERCERO 3 AO0MS00 0.986928
. . Fp 1
- - Fg 1
Remitan remitir VMM03P0 1
se se PP3CN00 1
a a SP 0.998775
la el DA0FS0 0.98926
Suprema_Corte_de_Justicia_de_la_Nación suprema_corte_de_justicia_de_la_nación NP00000 1
el el DA0MS0 1
presente presente NCMS000 0.244403
toca tocar VMIP3S0 0.98374
y y CC 0.999989
el el DA0MS0 1
juicio juicio NCMS000 1
de de SP 0.999961
amparo amparo NCMS000 0.986111
de de SP 0.999961
origen origen NCMS000 1
, , Fc 1
para para SP 0.999834
que que CS 0.449861
determine determinar VMSP3S0 0.634863
lo el DA00S0 0.665165
que que PR0CN00 0.550139
considere considerar VMSP3S0 0.493976
pertinente pertinente AQ0CS00 1
a a SP 1
el el DA0MS0 1
respecto respecto NCMS000 0.989726
, , Fc 1
según según SP 0.768678
lo el DA00S0 0.665165
expuesto exponer VMP00SM 1
en en SP 1
el el DA0MS0 1
último último AO0MS00 1
considerando considerando NCMS000 0.186667
de de SP 0.999961
esta este DD0FS0 0.978817
resolución resolución NCFS000 1
. . Fp 1
” ” Frc 1
Es ser VSIP3S0 1
así así RG 0.999409
que que PR0CN00 0.550139
, , Fc 1
mediante mediante SP 0.99763
proveído proveído NCMS000 0.376273
de de SP 0.999961
13_de_mayo_de_2016 [??:13/5/2016:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Presidente_de_la_Suprema_Corte_de_Justicia_de_la_Nación presidente_de_la_suprema_corte_de_justicia_de_la_nación NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
“ “ Fra 1
SCJN scjn NP00000 1
” ” Frc 1
) ) Fpt 1
determinó determinar VMIS3S0 1
que que CS 0.449861
asumía asumir VMII3S0 0.649979
la el DA0FS0 0.98926
competencia competencia NCFS000 1
originaria originario AQ0FS00 1
para para SP 0.999834
conocer conocer VMN0000 1
el el DA0MS0 1
recurso recurso NCMS000 1
de de SP 0.999961
revisión revisión NCFS000 1
, , Fc 1
lo lo PP3MSA0 0.334764
registró registrar VMIS3S0 1
con con SP 1
número número NCMS000 1
503/2016 503/2016 Z 1
y y CC 0.999989
lo lo PP3MSA0 0.334764
turnó turnar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Segunda_Sala_de_la_SCJN segunda_sala_de_la_scjn NP00000 1
y y CC 0.999989
mediante mediante SP 0.99763
ejecutoria ejecutoria NCFS000 0.338898
de de SP 0.999961
fecha fecha NCFS000 0.990741
28_de_junio_de_2017 [??:28/6/2017:??.??:??] W 1
, , Fc 1
resolvió resolver VMIS3S0 1
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
“ “ Fra 1
PRIMERO 1 AO0MS00 0.685848
. . Fp 1

En_materia_de en_materia_de SP 1
la el DA0FS0 0.98926
revisión revisión NCFS000 1
, , Fc 1
se se P00CN00 0.494509
modifica modificar VMIP3S0 0.973451
la el DA0FS0 0.98926
sentencia sentencia NCFS000 0.972286
recurrida recurrir VMP00SF 1
. . Fp 1
- - Fg 1
- - Fg 1
- - Fg 1
SEGUNDO segundo NCMS000 0.0978836
. . Fp 1

Se se P00CN00 0.494509
sobresee sobreseer VMIP3S0 0.974248
en en SP 1
el el DA0MS0 1
juicio juicio NCMS000 1
respecto_de respecto_de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
, , Fc 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
. . Fp 1
- - Fg 1
- - Fg 1
- - Fg 1
TERCERO 3 AO0MS00 0.986928
. . Fp 1

Quedan quedar VMIP3P0 1
sin sin SP 1
materia materia NCFS000 1
los el DA0MP0 0.992728
recursos recurso NCMP000 1
de de SP 0.999961
revisión revisión NCFS000 1
adhesivos adhesivo AQ0MP00 0.611273
en en SP 1
los el DA0MP0 0.992728
temas tema NCMP000 0.99505
de de SP 0.999961
constitucionalidad constitucionalidad NCFS000 1
. . Fp 1
- - Fg 1
- - Fg 1
- - Fg 1
CUARTO cuarto NCMS000 0.343537
. . Fp 1

Se se P00CN00 0.494509
reserva reservar VMIP3S0 0.157895
jurisdicción jurisdicción NCFS000 1
a a SP 1
el el DA0MS0 1
Tribunal_Colegiado_de_Circuito tribunal_colegiado_de_circuito NP00000 1
que que PR0CN00 0.550139
previno prevenir VMIS3S0 1
en en SP 1
el el DA0MS0 1
conocimiento conocimiento NCMS000 1
de de SP 1
el el DA0MS0 1
recurso recurso NCMS000 1
de de SP 0.999961
revisión revisión NCFS000 1
, , Fc 1
para para SP 0.999834
el el DA0MS0 1
efecto efecto NCMS000 1
de de SP 0.999961
que que CS 0.449861
resuelva resolver VMSP3S0 0.495935
las el DA0FP0 0.988184
cuestiones cuestión NCFP000 0.996324
de de SP 0.999961
su su DP3CSN 1
competencia competencia NCFS000 1
que que PR0CN00 0.550139
subsistan subsistir VMSP3P0 0.941964
en en SP 1
el el DA0MS0 1
presente presente AQ0CS00 0.524254
asunto asunto NCMS000 1
” ” Frc 1
. . Fp 1

En_virtud_de en_virtud_de SP 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
y y CC 0.999989
en en SP 1
cumplimiento cumplimiento NCMS000 1
a a SP 0.998775
lo el DA00S0 0.665165
ordenado ordenar VMP00SM 1
por por SP 1
la el DA0FS0 0.98926
Segunda_Sala_de_la_Suprema_Corte_de_Justicia_de_la_Nación segunda_sala_de_la_suprema_corte_de_justicia_de_la_nación NP00000 1
, , Fc 1
el el DA0MS0 1
Segundo_Tribunal_Colegiado_de_Circuito segundo_tribunal_colegiado_de_circuito NP00000 1
en en SP 1
Materia_Administrativa_Especializado materia_administrativa_especializado NP00000 1
en en SP 1
Competencia_Económica competencia_económica NP00000 1
, , Fc 1
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
Telecomunicaciones telecomunicaciones NP00000 1
con con SP 1
residencia residencia NCFS000 0.988439
en en SP 1
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
y y CC 0.999989
jurisdicción jurisdicción NCFS000 1
en en SP 1
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
República república NP00000 1
, , Fc 1
asumió asumir VMIS3S0 1
la el DA0FS0 0.98926
competencia competencia NCFS000 1
para para SP 0.999834
seguir seguir VMN0000 1
conociendo conocer VMG0000 1
de de SP 1
el el DA0MS0 1
asunto asunto NCMS000 1
, , Fc 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
en en SP 1
su su DP3CSN 1
ejecutoria ejecutoria NCFS000 0.338898
de de SP 0.999961
fecha fecha NCFS000 0.990741
14_de_diciembre_de_2017 [??:14/12/2017:??.??:??] W 1
, , Fc 1
consideró considerar VMIS3S0 1
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
« « Fra 1
SEXTO 6 AO0MS00 0.975904
. . Fp 1

Ahora_bien ahora_bien RG 1
, , Fc 1
toda todo DI0FS0 0.984467
vez vez NCFS000 1
que que PR0CN00 0.550139
la el DA0FS0 0.98926
Suprema_Corte_de_Justicia_de_la_Nación suprema_corte_de_justicia_de_la_nación NP00000 1
determinó determinar VMIS3S0 1
sobreseer sobreseer VMN0000 1
respecto_de respecto_de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
, , Fc 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
dado_que dado_que CS 1
el el DA0MS0 1
Máximo_Tribunal máximo_tribunal NP00000 1
dejó dejar VMIS3S0 1
a a SP 0.998775
salvo salvo SP 0.850649
la el DA0FS0 0.98926
competencia competencia NCFS000 1
de de SP 0.999961
este este DD0MS0 0.949201
Órgano_Jurisdiccional órgano_jurisdiccional NP00000 1
, , Fc 1
para para SP 0.999834
emitir emitir VMN0000 1
la el DA0FS0 0.98926
resolución resolución NCFS000 1
que que PR0CN00 0.550139
en en SP 1
derecho derecho NCMS000 0.882166
corresponda corresponder VMSP3S0 0.634863
respecto_de respecto_de SP 1
los el DA0MP0 0.992728
temas tema NCMP000 0.99505
de de SP 0.999961
legalidad legalidad NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
demás demás DI0CP0 0.280093
actos acto NCMP000 1
reclamados reclamar VMP00PM 1
, , Fc 1
este este DD0MS0 0.949201
Tribunal_Colegiado tribunal_colegiado NP00000 1
procede proceder VMIP3S0 0.98913
a a SP 1
el el DA0MS0 1
estudio estudio NCMS000 0.97043
de de SP 0.999961
las el DA0FP0 0.988184
cuestiones cuestión NCFP000 0.996324
propias propio AQ0FP00 1
de de SP 0.999961
su su DP3CSN 1
competencia competencia NCFS000 1
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
A_efecto_de a_efecto_de NP00000 1
atender atender VMN0000 1
dichos decir VMP00PM 0.97619
argumentos argumento NCMP000 1
, , Fc 1
este este DD0MS0 0.949201
órgano órgano NCMS000 1
jurisdiccional jurisdiccional AQ0CS00 1
, , Fc 1
en en SP 1
cumplimiento cumplimiento NCMS000 1
a a SP 0.998775
lo el DA00S0 0.665165
resuelto resolver VMP00SM 1
en en SP 1
la el DA0FS0 0.98926
sentencia sentencia NCFS000 0.972286
de de SP 0.999961
veintiocho_de_junio_de_dos_mil_diecisiete [??:28/6/2017:??.??:??] W 1
, , Fc 1
tomará tomar VMIF3S0 1
en en SP 1
consideración consideración NCFS000 1
los el DA0MP0 0.992728
razonamientos razonamiento NCMP000 1
vertidos verter VMP00PM 0.523747
por por SP 1
la el DA0FS0 0.98926
Segunda_Sala_de_la_Suprema_Corte_de_Justicia_de_la_Nación segunda_sala_de_la_suprema_corte_de_justicia_de_la_nación NP00000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
en en SP 1
revisión revisión NCFS000 1
329/2016 329/2016 Z 1
, , Fc 1
en en SP 1
relación relación NCFS000 1
con con SP 1
el el DA0MS0 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
toda todo DI0FS0 0.984467
vez vez NCFS000 1
que que PR0CN00 0.550139
los el DA0MP0 0.992728
agravios agravio NCMP000 1
formulados formular VMP00PM 1
por por SP 1
la el DA0FS0 0.98926
autoridad autoridad NCFS000 1
recurrente recurrente AQ0CS00 1
están estar VMIP3P0 0.99949
relacionados relacionar VMP00PM 1
con con SP 1
la el DA0FS0 0.98926
interpretación interpretación NCFS000 1
de de SP 1
el el DA0MS0 1
mencionado mencionar VMP00SM 1
numeral numeral NCMS000 0.349312
, , Fc 1
realizada realizar VMP00SF 1
en en SP 1
el el DA0MS0 1
acuerdo acuerdo NCMS000 0.999311
y y CC 0.999989
resolución resolución NCFS000 1
reclamada reclamar VMP00SF 1
. . Fp 1

Ahora_bien ahora_bien RG 1
, , Fc 1
en en SP 1
la el DA0FS0 0.98926
resolución resolución NCFS000 1
de de SP 0.999961
veintiuno_de_junio_de_dos_mil_diecisiete [??:21/6/2017:??.??:??] W 1
, , Fc 1
dictada dictar VMP00SF 1
por por SP 1
la el DA0FS0 0.98926
mencionada mencionar VMP00SF 1
Segunda_Sala segunda_sala NP00000 1
dentro_de dentro_de SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
en en SP 1
revisión revisión NCFS000 1
329/2016 329/2016 Z 1
, , Fc 1
primero primero RG 0.313084
se se P00CN00 0.494509
abordó abordar VMIS3S0 1
un uno DI0MS0 0.99698
estudio estudio NCMS000 0.97043
respecto_de respecto_de SP 1
el el DA0MS0 1
marco marco NCMS000 0.996894
constitucional constitucional AQ0CS00 1
, , Fc 1
legal legal AQ0CS00 1
y y CC 0.999989
jurisprudencial jurisprudencial AQ0CS00 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
, , Fc 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
es ser VSIP3S0 1
de de SP 1
el el DA0MS0 1
contenido contenido NCMS000 0.993421
siguiente siguiente AQ0CS00 1
: : Fd 1
“ “ Fra 1
CUARTO cuarto NCMS000 0.343537
. . Fp 1

Consideraciones consideraciones NP00000 0.331016
previas previo AQ0FP00 1
( ( Fpa 1
marco marco NCMS000 0.996894
constitucional constitucional AQ0CS00 1
, , Fc 1
legal legal AQ0CS00 1
y y CC 0.999989
jurisprudencial jurisprudencial AQ0CS00 1
) ) Fpt 1
… … Fz 1
QUINTO quinto NP00000 1
. . Fp 1

Estudio estudio NCMS000 0.967828
de de SP 0.999961
fondo fondo NCMS000 1
. . Fp 1

Una uno DI0FS0 0.951973
vez vez NCFS000 1
precisado precisar VMP00SM 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
es ser VSIP3S0 1
necesario necesario AQ0MS00 1
reiterar reiterar VMN0000 1
que que CS 0.449861
el el DA0MS0 1
artículo artículo NCMS000 1
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
, , Fc 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
cuya cuyo PR0FS00 1
constitucionalidad constitucionalidad NCFS000 1
fue ser VSIS3S0 0.980739
combatida combatir VMP00SF 1
por por SP 1
la el DA0FS0 0.98926
quejosa quejoso AQ0FS00 1
, , Fc 1
establece establecer VMIP3S0 0.992424
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
‘ ‘ Fra 1
Vigésimo 20 AO0MS00 1
. . Fp 1
( ( Fpa 1
Se se P00CN00 0.494509
transcribe transcribir VMIP3S0 0.989241
) ) Fpt 1
’ ’ Frc 1
. . Fp 1

Así así RG 0.999409
las el DA0FP0 0.988184
cosas cosa NCFP000 0.999049
, , Fc 1
la el DA0FS0 0.98926
litis litis NCFN000 0.571394
de de SP 1
el el DA0MS0 1
presente presente AQ0CS00 0.524254
amparo amparo NCMS000 0.986111
en en SP 1
revisión revisión NCFS000 1
, , Fc 1
consiste consistir VMIP3S0 0.993421
en en SP 1
dilucidar dilucidar VMN0000 1
el el DA0MS0 1
contenido contenido NCMS000 0.993421
y y CC 0.999989
alcance alcance NCMS000 0.720779
de de SP 0.999961
la el DA0FS0 0.98926
disposición disposición NCFS000 1
antes antes RG 1
transcrita transcribir VMP00SF 1
, , Fc 1
en en SP 1
tanto tanto DI0MS0 0.109898
los el DA0MP0 0.992728
recursos recurso NCMP000 1
que que PR0CN00 0.550139
fueron ser VSIS3P0 0.933213
interpuestos interponer VMP00PM 1
se se P00CN00 0.494509
encuentran encontrar VMIP3P0 1
encaminados encaminar VMP00PM 1
a a SP 0.998775
determinar determinar VMN0000 1
la el DA0FS0 0.98926
interpretación interpretación NCFS000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
debe deber VMIP3S0 0.998712
realizar realizar VMN0000 1
de de SP 0.999961
la el DA0FS0 0.98926
misma mismo AQ0FS00 0.81684
. . Fp 1

A a SP 1
el el DA0MS0 1
respecto respecto NCMS000 0.989726
, , Fc 1
debe deber VMIP3S0 0.998712
señalar señalar VMN0000 1
se se PP3CN00 1
en en SP 1
primer 1 AO0MS00 1
término término NCMS000 1
que que CS 0.449861
la el DA0FS0 0.98926
disposición disposición NCFS000 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
análisis análisis NCMN000 1
forma_parte formar_parte VMIP3S0 0.989241
de de SP 1
el el DA0MS0 1
sistema sistema NCMS000 1
normativo normativo AQ0MS00 1
por por SP 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
