RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_AUTORIZA_LA_MODIFICACIÓN_A_LAS_CARACTERÍSTICAS_TÉCNICAS_DE_LA_ESTACIÓN_DE_RADIODIFUSIÓN_SONORA_CON_DISTINTIVO_DE_LLAMADA_XHLIA-FM_QUE_OPERA_LA_FRECUENCIA resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_autoriza_la_modificación_a_las_características_técnicas_de_la_estación_de_radiodifusión_sonora_con_distintivo_de_llamada_xhlia-fm_que_opera_la_frecuencia NP00000 1
concesiones concesión NCFP000 1
, , Fc 1
así_como así_como CC 1
por por SP 1
la el DA0FS0 0.98926
autorización autorización NCFS000 1
de de SP 0.999961
servicios servicio NCMP000 1
vinculados vincular VMP00PM 1
a a SP 0.998775
éstas este PD0FP00 1
, , Fc 1
previa previo AQ0FS00 1
opinión opinión NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
autoridad autoridad NCFS000 1
hacendaria hacendario AQ0FS00 1
. . Fp 1

Que que CS 0.449861
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
es ser VSIP3S0 1
un uno DI0MS0 0.99698
bien bien NCMS000 0.0926779
de de SP 1
el el DA0MS0 1
dominio dominio NCMS000 1
público público AQ0MS00 0.409696
cuyo cuyo PR0MS00 1
uso uso NCMS000 0.998047
, , Fc 1
goce goce NCMS000 0.862289
, , Fc 1
aprovechamiento aprovechamiento NCMS000 1
o o CC 0.999864
explotación explotación NCFS000 1
debe deber VMIP3S0 0.998712
otorgar otorgar VMN0000 1
se se PP3CN00 1
con con SP 1
sujeción sujeción NCFS000 1
a a SP 0.998775
los el DA0MP0 0.992728
principios principio NCMP000 1
de de SP 0.999961
eficiencia eficiencia NCFS000 1
, , Fc 1
eficacia eficacia NCFS000 1
y y CC 0.999989
honradez honradez NCFS000 1
, , Fc 1
contenidos contener VMP00PM 0.256098
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
134 134 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
, , Fc 1
conjuntamente conjuntamente RG 1
con con SP 1
los el DA0MP0 0.992728
establecidos establecer VMP00PM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
25 25 Z 1
, , Fc 1
26 26 Z 1
, , Fc 1
27 27 Z 1
y y CC 0.999989
28 28 Z 1
que que PR0CN00 0.550139
conforman conformar VMIP3P0 1
su su DP3CSN 1
capítulo capítulo NCMS000 1
económico económico AQ0MS00 1
. . Fp 1

Que que CS 0.449861
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
los el DA0MP0 0.992728
principios principio NCMP000 1
constitucionales constitucional AQ0CP00 1
y y CC 0.999989
la el DA0FS0 0.98926
normatividad normatividad NCFS000 1
aplicable aplicable AQ0CS00 1
a a SP 0.998775
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
de de SP 0.999961
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
antes antes RG 1
citadas citar VMP00PF 1
, , Fc 1
es ser VSIP3S0 1
posible posible AQ0CS00 1
establecer establecer VMN0000 1
una uno DI0FS0 0.951973
contraprestación contraprestación NCFS000 1
que que PR0CN00 0.550139
deberá deber VMIF3S0 1
ser ser VSN0000 0.959637
aceptada aceptar VMP00SF 1
y y CC 0.999989
, , Fc 1
por_ende por_ende RG 1
, , Fc 1
pagada pagar VMP00SF 1
por por SP 1
el el DA0MS0 1
concesionario concesionario NCMS000 0.488737
como como CS 0.967153
requisito requisito NCMS000 0.983871
previo previo AQ0MS00 0.983871
a a SP 0.998775
la el DA0FS0 0.98926
modificación modificación NCFS000 1
técnica técnico AQ0FS00 0.294798
de de SP 0.999961
su su DP3CSN 1
concesión concesión NCFS000 1
. . Fp 1

Que que CS 0.449861
el el DA0MS0 1
uso uso NCMS000 0.998047
, , Fc 1
goce goce NCMS000 0.862289
, , Fc 1
aprovechamiento aprovechamiento NCMS000 1
o o CC 0.999864
explotación explotación NCFS000 1
de de SP 0.999961
bienes bien NCMP000 1
de de SP 1
el el DA0MS0 1
dominio dominio NCMS000 1
público público AQ0MS00 0.409696
debe deber VMIP3S0 0.998712
otorgar otorgar VMN0000 1
se se PP3CN00 1
en en SP 1
igualdad igualdad NCFS000 1
de de SP 0.999961
condiciones condición NCFP000 0.998418
a a SP 0.998775
todos todo DI0MP0 0.70665
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
que que PR0CN00 0.550139
se se P00CN00 0.494509
encuentran encontrar VMIP3P0 1
en en SP 1
las el DA0FP0 0.988184
mismas mismo AQ0FP00 0.995495
circunstancias circunstancia NCFP000 1
y y CC 0.999989
, , Fc 1
tratando tratar VMG0000 1
se se PP3CN00 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
, , Fc 1
es ser VSIP3S0 1
posible posible AQ0CS00 1
establecer establecer VMN0000 1
contraprestaciones contraprestación NCFP000 1
en en SP 1
función función NCFS000 1
de de SP 1
el el DA0MS0 1
plazo plazo NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
concesión concesión NCFS000 1
, , Fc 1
las el DA0FP0 0.988184
diferencias diferencia NCFP000 0.996454
geográficas geográfico AQ0FP00 1
o o CC 0.999864
de de SP 0.999961
población población NCFS000 1
, , Fc 1
las el DA0FP0 0.988184
características característica NCFP000 0.994792
técnicas técnico AQ0FP00 0.300493
y y CC 0.999989
ancho ancho AQ0MS00 0.436294
de de SP 0.999961
banda banda NCFS000 1
y y CC 0.999989
el el DA0MS0 1
valor valor NCMS000 1
de de SP 0.999961
mercado mercado NCMS000 0.999343
de de SP 0.999961
cada cada DI0CS0 1
banda banda NCFS000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
, , Fc 1
entre entre SP 0.980341
otros otro DI0MP0 0.745978
aspectos aspecto NCMP000 1
. . Fp 1

Que que CS 0.449861
una uno DI0FS0 0.951973
desigualdad desigualdad NCFS000 1
en en SP 1
el el DA0MS0 1
régimen régimen NCMS000 1
de de SP 0.999961
pago pago NCMS000 0.995283
por por SP 1
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
correspondientes correspondiente AQ0CP00 0.980769
a a SP 1
el el DA0MS0 1
uso uso NCMS000 0.998047
, , Fc 1
goce goce NCMS000 0.862289
, , Fc 1
aprovechamiento aprovechamiento NCMS000 1
o o CC 0.999864
explotación explotación NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
bandas banda NCFP000 1
de de SP 0.999961
frecuencia frecuencia NCFS000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
, , Fc 1
generaría generar VMIC3S0 0.65
que que CS 0.449861
el el DA0MS0 1
Estado estado NP00000 1
percibiera percibir VMSI3S0 0.500039
una uno DI0FS0 0.951973
contraprestación contraprestación NCFS000 1
menor menor AQ0CS00 0.977178
a a SP 0.998775
la el DA0FS0 0.98926
que que PR0CN00 0.550139
tiene tener VMIP3S0 1
derecho derecho NCMS000 0.882166
conforme_a conforme_a SP 1
el el DA0MS0 1
valor valor NCMS000 1
real real AQ0CS00 0.82839
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
. . Fp 1

Que que CS 0.449861
para para SP 0.999834
determinar determinar VMN0000 1
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
los el DA0MP0 0.992728
aprovechamientos aprovechamiento NCMP000 1
, , Fc 1
se se P00CN00 0.494509
toman tomar VMIP3P0 1
en en SP 1
cuenta contar VMIP3S0 0.768585
criterios criterio NCMP000 1
de de SP 0.999961
eficiencia eficiencia NCFS000 1
económica económico AQ0FS00 1
y y CC 0.999989
de de SP 0.999961
saneamiento saneamiento NCMS000 1
financiero financiero AQ0MS00 0.712766
que que PR0CN00 0.550139
establece establecer VMIP3S0 0.992424
el el DA0MS0 1
artículo artículo NCMS000 1
10 10 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_de_Ingresos_de_la_Federación_para_el_Ejercicio_Fiscal ley_de_ingresos_de_la_federación_para_el_ejercicio_fiscal NP00000 1
de de SP 0.999961
2016 2016 Z 1
, , Fc 1
así_como así_como CC 1
los el DA0MP0 0.992728
montos monto NCMP000 1
cubiertos cubrir VMP00PM 0.738095
por por SP 1
otros otro DI0MP0 0.745978
concesionarios concesionario NCMP000 0.62798
respecto_de respecto_de SP 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
similares similar AQ0CP00 1
. . Fp 1

Que que CS 0.449861
esta este DD0FS0 0.978817
Secretaría secretaría NP00000 1
considera considerar VMIP3S0 0.998721
que que CS 0.449861
las el DA0FP0 0.988184
contraprestaciones contraprestación NCFP000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
fijen fijar VMSP3P0 0.941964
por por SP 1
el el DA0MS0 1
incremento incremento NCMS000 0.998084
de de SP 0.999961
la el DA0FS0 0.98926
población población NCFS000 1
a a SP 0.998775
servir servir VMN0000 1
derivado derivar VMP00SM 0.623747
de de SP 0.999961
las el DA0FP0 0.988184
modificaciones modificación NCFP000 1
técnicas técnico AQ0FP00 0.300493
de de SP 0.999961
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
para para SP 0.999834
el el DA0MS0 1
uso uso NCMS000 0.998047
, , Fc 1
goce goce NCMS000 0.862289
, , Fc 1
aprovechamiento aprovechamiento NCMS000 1
o o CC 0.999864
explotación explotación NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
para para SP 0.999834
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
, , Fc 1
deberán deber VMIF3P0 1
tomar tomar VMN0000 1
en en SP 1
consideración consideración NCFS000 1
la el DA0FS0 0.98926
vigencia vigencia NCFS000 1
restante restante AQ0CS00 0.561294
de de SP 0.999961
concesión concesión NCFS000 1
, , Fc 1
las el DA0FP0 0.988184
diferencias diferencia NCFP000 0.996454
geográficas geográfico AQ0FP00 1
o o CC 0.999864
de de SP 0.999961
población población NCFS000 1
, , Fc 1
si si CS 0.999827
es ser VSIP3S0 1
una uno DI0FS0 0.951973
estación estación NCFS000 1
de de SP 0.999961
AM am NP00000 1
o o CC 0.999864
FM fm NP00000 1
y y CC 0.999989
el el DA0MS0 1
valor valor NCMS000 1
de de SP 0.999961
mercado mercado NCMS000 0.999343
de de SP 0.999961
cada cada DI0CS0 1
banda banda NCFS000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
, , Fc 1
además_de además_de SP 1
que que PR0CN00 0.550139
podrán poder VMIF3P0 1
ser ser VSN0000 0.959637
distintas distinto AQ0FP00 0.480159
a a SP 0.998775
las el DA0FP0 0.988184
que que PR0CN00 0.550139
fijen fijar VMSP3P0 0.941964
a a SP 0.998775
otras otro DI0FP0 0.865408
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
, , Fc 1
entre entre SP 0.980341
otros otro DI0MP0 0.745978
aspectos aspecto NCMP000 1
. . Fp 1

Que que CS 0.449861
los el DA0MP0 0.992728
cobros cobro NCMP000 1
que que PR0CN00 0.550139
establezca establecer VMSP3S0 0.484863
el el DA0MS0 1
Estado estado NP00000 1
deben deber VMIP3P0 1
reflejar reflejar VMN0000 1
el el DA0MS0 1
valor valor NCMS000 1
de de SP 0.999961
mercado mercado NCMS000 0.999343
de de SP 0.999961
las el DA0FP0 0.988184
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
, , Fc 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
es ser VSIP3S0 1
consistente consistente AQ0CS00 1
con con SP 1
las el DA0FP0 0.988184
mejores mejor AQ0CP00 0.997685
prácticas práctica NCFP000 0.685185
internacionales internacional AQ0CP00 0.948505
como como CS 0.967153
lo lo PP3MSA0 0.334764
establecen establecer VMIP3P0 1
las el DA0FP0 0.988184
recomendaciones recomendación NCFP000 1
de de SP 0.999961
la el DA0FS0 0.98926
Organización_para_la_Cooperación organización_para_la_cooperación NP00000 1
y y CC 0.999989
Desarrollo_Económico desarrollo_económico NP00000 1
( ( Fpa 1
OCDE ocde NP00000 1
) ) Fpt 1
para para SP 0.999834
que que CS 0.449861
las el DA0FP0 0.988184
cutas cuto AQ0FP00 1
aplicables aplicable AQ0CP00 1
a a SP 0.998775
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
incentiven incentivar VMSP3P0 0.941964
el el DA0MS0 1
uso uso NCMS000 0.998047
eficiente eficiente AQ0CS00 1
de de SP 0.999961
este este DD0MS0 0.949201
recurso recurso NCMS000 1
. . Fp 1

Que que CS 0.449861
la el DA0FS0 0.98926
sociedad sociedad NCFS000 1
debe deber VMIP3S0 0.998712
conocer conocer VMN0000 1
el el DA0MS0 1
valor valor NCMS000 1
de de SP 0.999961
mercado mercado NCMS000 0.999343
de de SP 0.999961
las el DA0FP0 0.988184
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
concesionan concesionan VMIP3P0 1
para para SP 0.999834
cumplir cumplir VMN0000 1
con con SP 1
el el DA0MS0 1
principio principio NCMS000 0.997238
de de SP 0.999961
transparencia transparencia NCFS000 1
, , Fc 1
ya_que ya_que CS 1
el el DA0MS0 1
Estado estado NP00000 1
tiene tener VMIP3S0 1
la el DA0FS0 0.98926
responsabilidad responsabilidad NCFS000 1
de de SP 0.999961
que que CS 0.449861
los el DA0MP0 0.992728
bienes bien NCMP000 1
de de SP 1
el el DA0MS0 1
dominio dominio NCMS000 1
público público AQ0MS00 0.409696
de de SP 0.999961
la el DA0FS0 0.98926
Nación nación NP00000 1
, , Fc 1
como como CS 0.967153
recurso recurso NCMS000 1
económicos económico AQ0MP00 1
sean ser VSSP3P0 0.996689
manejados manejar VMP00PM 1
bajo bajo SP 0.909179
los el DA0MP0 0.992728
principios principio NCMP000 1
de de SP 0.999961
eficiencia eficiencia NCFS000 1
, , Fc 1
eficacia eficacia NCFS000 1
, , Fc 1
economía economía NCFS000 1
, , Fc 1
transparencia transparencia NCFS000 1
y y CC 0.999989
honradez honradez NCFS000 1
, , Fc 1
para para SP 0.999834
lograr lograr VMN0000 1
un uno DI0MS0 0.99698
equilibrio equilibrio NCMS000 1
entre entre SP 0.980341
las el DA0FP0 0.988184
fuerzas fuerza NCFP000 0.998652
de de SP 1
el el DA0MS0 1
mercado mercado NCMS000 0.999343
y y CC 0.999989
los el DA0MP0 0.992728
objetivos objetivo NCMP000 0.962329
de de SP 0.999961
política política NCFS000 0.369481
pública público AQ0FS00 1
. . Fp 1

Que que CS 0.449861
las el DA0FP0 0.988184
contraprestaciones contraprestación NCFP000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
fijen fijar VMSP3P0 0.941964
por por SP 1
el el DA0MS0 1
incremento incremento NCMS000 0.998084
de de SP 0.999961
la el DA0FS0 0.98926
población población NCFS000 1
a a SP 0.998775
servir servir VMN0000 1
derivado derivar VMP00SM 0.623747
de de SP 0.999961
las el DA0FP0 0.988184
modificaciones modificación NCFP000 1
técnicas técnico AQ0FP00 0.300493
a a SP 0.998775
los el DA0MP0 0.992728
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
de de SP 0.999961
bandas banda NCFP000 1
de de SP 0.999961
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
, , Fc 1
son ser VSIP3P0 0.995197
consistentes consistente AQ0CP00 1
con con SP 1
los el DA0MP0 0.992728
principios principio NCMP000 1
constitucionales constitucional AQ0CP00 1
de de SP 0.999961
funcionamiento funcionamiento NCMS000 1
eficiente eficiente AQ0CS00 1
de de SP 0.999961
los el DA0MP0 0.992728
mercados mercado NCMP000 0.997512
, , Fc 1
máxima máximo AQ0FS00 0.919847
cobertura cobertura NCFS000 1
nacional nacional AQ0CS00 1
de de SP 0.999961
servicios servicio NCMP000 1
, , Fc 1
derecho derecho NCMS000 0.882166
a a SP 0.998775
la el DA0FS0 0.98926
información información NCFS000 1
y y CC 0.999989
función función NCFS000 1
social social AQ0CS00 0.998783
de de SP 0.999961
los el DA0MP0 0.992728
medios medio NCMP000 0.997344
de de SP 0.999961
comunicación comunicación NCFS000 1
, , Fc 1
atendiendo atender VMG0000 1
las el DA0FP0 0.988184
obligaciones obligación NCFP000 1
que que PR0CN00 0.550139
tiene tener VMIP3S0 1
el el DA0MS0 1
Estado estado NP00000 1
con_respecto_a con_respecto_a SP 1
la el DA0FS0 0.98926
administración administración NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
bienes bien NCMP000 1
de de SP 0.999961
dominio dominio NCMS000 1
público público AQ0MS00 0.409696
, , Fc 1
con con SP 1
la el DA0FS0 0.98926
finalidad finalidad NCFS000 1
de de SP 0.999961
asegurar asegurar VMN0000 1
condiciones condición NCFP000 0.998418
para para SP 0.999834
el el DA0MS0 1
Estado estado NP00000 1
. . Fp 1

Que que CS 0.449861
se se P00CN00 0.494509
utiliza utilizar VMIP3S0 0.847222
la el DA0FS0 0.98926
misma mismo AQ0FS00 0.81684
metodología metodología NCFS000 1
considerada considerar VMP00SF 1
procedente procedente AQ0CS00 1
por por SP 1
esta este DD0FS0 0.978817
Secretaría secretaría NP00000 1
en en SP 1
el el DA0MS0 1
oficio oficio NCMS000 0.986111
no no RN 0.999297
. . Fp 1
349-B-278 349-B-278 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
17_de_julio_de_2015 [??:17/7/2015:??.??:??] W 1
, , Fc 1
para para SP 0.999834
realizar realizar VMN0000 1
el el DA0MS0 1
cálculo cálculo NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
contraprestaciones contraprestación NCFP000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
fijaron fijar VMIS3P0 1
a a SP 0.998775
las el DA0FP0 0.988184
empresas empresa NCFP000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
por por SP 1
la el DA0FS0 0.98926
prórroga prórroga NCFS000 1
de de SP 0.999961
32 32 Z 1
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
de de SP 0.999961
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
para para SP 0.999834
usar usar VMN0000 1
, , Fc 1
aprovechar aprovechar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 0.999961
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
. . Fp 1

Que que CS 0.449861
el el DA0MS0 1
valor valor NCMS000 1
de de SP 0.999961
referencia referencia NCFS000 0.989637
en en SP 1
pesos peso NCMP000 1
por por SP 1
habitante habitante NCCS000 1
para para SP 0.999834
concesiones concesión NCFP000 1
de de SP 0.999961
12 12 Z 1
años año NCMP000 1
ha haber VAIP3S0 0.999889
sido ser VSP00SM 1
actualizado actualizar VMP00SM 1
por por SP 1
el el DA0MS0 1
IFT ift NP00000 1
utilizando utilizar VMG0000 1
el el DA0MS0 1
INPC inpc NP00000 1
de de SP 0.999961
enero_de_2016 [??:??/1/2016:??.??:??] W 1
y y CC 0.999989
posteriormente posteriormente RG 1
ajustado ajustar VMP00SM 1
de de SP 0.999961
acuerdo acuerdo NCMS000 0.999311
a a SP 1
el el DA0MS0 1
periodo periodo NCMS000 1
de de SP 0.999961
vigencia vigencia NCFS000 1
restante restante AQ0CS00 0.561294
de de SP 0.999961
cada cada DI0CS0 1
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
. . Fp 1

… … Fz 1
considera considerar VMIP3S0 0.998721
procedentes procedente AQ0CP00 1
los el DA0MP0 0.992728
montos monto NCMP000 1
de de SP 0.999961
las el DA0FP0 0.988184
contraprestaciones contraprestación NCFP000 1
que que PR0CN00 0.550139
deberán deber VMIF3P0 1
pagar pagar VMN0000 1
las el DA0FP0 0.988184
empresas empresa NCFP000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
por por SP 1
el el DA0MS0 1
incremento incremento NCMS000 0.998084
de de SP 0.999961
la el DA0FS0 0.98926
población población NCFS000 1
a a SP 0.998775
servir servir VMN0000 1
derivado derivar VMP00SM 0.623747
de de SP 0.999961
las el DA0FP0 0.988184
modificaciones modificación NCFP000 1
técnicas técnico AQ0FP00 0.300493
de de SP 0.999961
18 18 Z 1
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
de de SP 0.999961
estaciones estación NCFP000 0.992424
de de SP 0.999961
FM fm NP00000 1
de de SP 0.999961
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
para para SP 0.999834
usar usar VMN0000 1
, , Fc 1
aprovechar aprovechar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencia frecuencia NCFS000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
propuestos proponer VMP00PM 1
por por SP 1
el el DA0MS0 1
IFT ift NP00000 1
, , Fc 1
que que PR0CN00 0.550139
considera considerar VMIP3S0 0.998721
un uno DI0MS0 0.99698
valor valor NCMS000 1
de de SP 0.999961
referencia referencia NCFS000 0.989637
en en SP 1
pesos peso NCMP000 1
por por SP 1
habitante habitante NCCS000 1
para para SP 0.999834
concesiones concesión NCFP000 1
de de SP 0.999961
12 12 Z 1
años año NCMP000 1
de de SP 0.999961
$0.74_peso $_CUP:$0.74 Zm 1
por por SP 1
habitante habitante NCCS000 1
para para SP 0.999834
estaciones estación NCFP000 0.992424
de de SP 0.999961
FM fm NP00000 1
. . Fp 1

El el DA0MS0 1
detalle detalle NCMS000 0.971154
de de SP 0.999961
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
, , Fc 1
montos monto NCMP000 1
de de SP 0.999961
las el DA0FP0 0.988184
contraprestaciones contraprestación NCFP000 1
y y CC 0.999989
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
sobre sobre SP 0.997804
las el DA0FP0 0.988184
que que PR0CN00 0.550139
se se P00CN00 0.494509
emite emitir VMIP3S0 0.989238
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
opinión opinión NCFS000 1
, , Fc 1
se se P00CN00 0.494509
muestran mostrar VMIP3P0 1
en en SP 1
el el DA0MS0 1
anexo anexo NCMS000 0.736395
A a NP00000 1
y y CC 0.999989
B b NP00000 1
de de SP 0.999961
este este DD0MS0 0.949201
oficio oficio NCMS000 0.986111
( ( Fpa 1
páginas página NCFP000 1
5 5 Z 1
y y CC 0.999989
6 6 Z 1
) ) Fpt 1
. . Fp 1

El el DA0MS0 1
entero entero AQ0MS00 0.773585
de de SP 1
el el DA0MS0 1
aprovechamiento aprovechamiento NCMS000 1
que que PR0CN00 0.550139
resulte resultar VMSP3S0 0.634863
de de SP 0.999961
la el DA0FS0 0.98926
opinión opinión NCFS000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
emite emitir VMIP3S0 0.989238
mediante mediante SP 0.99763
el el DA0MS0 1
presente presente AQ0CS00 0.524254
oficio oficio NCMS000 0.986111
deberá deber VMIF3S0 1
realizar realizar VMN0000 1
se se PP3CN00 1
en en SP 1
las el DA0FP0 0.988184
oficinas oficina NCFP000 1
autorizadas autorizar VMP00PF 1
por por SP 1
esta este DD0FS0 0.978817
Secretaría secretaría NP00000 1
, , Fc 1
mediante mediante SP 0.99763
la el DA0FS0 0.98926
clave clave NCFS000 0.984906
de de SP 0.999961
entero entero AQ0MS00 0.773585
correspondiente correspondiente AQ0CS00 0.993421
, , Fc 1
en en SP 1
una uno DI0FS0 0.951973
sola solo AQ0FS00 1
exhibición exhibición NCFS000 1
y y CC 0.999989
previo previo AQ0MS00 0.983871
a a SP 0.998775
la el DA0FS0 0.98926
entrega entrega NCFS000 0.73057
de de SP 0.999961
los el DA0MP0 0.992728
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
respectivos respectivo AQ0MP00 1
. . Fp 1

Los el DA0MP0 0.992728
montos monto NCMP000 1
sobre sobre SP 0.997804
los el DA0MP0 0.992728
que que PR0CN00 0.550139
se se P00CN00 0.494509
opina opinar VMIP3S0 0.992424
mediante mediante SP 0.99763
el el DA0MS0 1
presente presente AQ0CS00 0.524254
oficio oficio NCMS000 0.986111
no no RN 0.999297
incluyen incluir VMIP3P0 1
el el DA0MS0 1
pago pago NCMS000 0.995283
a a SP 1
el el DA0MS0 1
Gobierno_Federal gobierno_federal NP00000 1
por por SP 1
el el DA0MS0 1
uso uso NCMS000 0.998047
de de SP 0.999961
las el DA0FP0 0.988184
frecuencias frecuencia NCFP000 1
para para SP 0.999834
proporcionar proporcionar VMN0000 1
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
distintos distinto AQ0MP00 0.321429
a a SP 1
el el DA0MS0 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
. . Fp 1

Los el DA0MP0 0.992728
aprovechamientos aprovechamiento NCMP000 1
a a SP 0.998775
los el DA0MP0 0.992728
que que PR0CN00 0.550139
hace_referencia hacer_referencia VMIP3S0 1
el el DA0MS0 1
presente presente AQ0CS00 0.524254
oficio oficio NCMS000 0.986111
no no RN 0.999297
incluyen incluir VMIP3P0 1
el el DA0MS0 1
cobro cobro NCMS000 0.986111
correspondiente correspondiente AQ0CS00 0.993421
en en SP 1
el el DA0MS0 1
caso caso NCMS000 0.999445
de de SP 0.999961
que que CS 0.449861
el el DA0MS0 1
IFT ift NP00000 1
autorice autorizar VMSP3S0 0.634858
cualquier cualquiera DI0CS0 1
cambio cambio NCMS000 0.998705
en en SP 1
la el DA0FS0 0.98926
concesión concesión NCFS000 1
que que PR0CN00 0.550139
pueda poder VMSP3S0 0.499421
modificar modificar VMN0000 1
su su DP3CSN 1
valor valor NCMS000 1
, , Fc 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
ese ese DD0MS0 0.966694
Instituto instituto NP00000 1
deberá deber VMIF3S0 1
solicitar solicitar VMN0000 1
a a SP 0.998775
esta este DD0FS0 0.978817
Secretaría secretaría NP00000 1
la el DA0FS0 0.98926
opinión opinión NCFS000 1
correspondiente correspondiente AQ0CS00 0.993421
en en SP 1
el el DA0MS0 1
caso caso NCMS000 0.999445
de de SP 0.999961
que que CS 0.449861
tenga tener VMSP3S0 0.488844
previsto prever VMP00SM 1
realizar realizar VMN0000 1
algún alguno DI0MS0 1
cambio cambio NCMS000 0.998705
en en SP 1
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
. . Fp 1

Esta este DD0FS0 0.978817
disposición disposición NCFS000 1
deberá deber VMIF3S0 1
estar estar VMN0000 0.999154
incluida incluir VMP00SF 1
en en SP 1
el el DA0MS0 1
título título NCMS000 1
de de SP 0.999961
